,Sample,Actual_Control_CR,Actual_Treatment_CR,Round,Control_Clicks,Control_Sale,Control_CR,Treatment_Clicks,Treatment_Sale,Treatment_CR,Bayesian_Lift,Prob,Z-value,P-value,Freq_Lift
697,69,6.43%,6.06%,7,6350,426,6.71%,5555,324,5.83%,-13.0%,2.5%,1.962777308,0.049672056,-13.1%
698,69,6.43%,6.06%,8,36927,2421,6.56%,38757,2387,6.16%,-6.1%,1.3%,2.239886453,0.025098295,-6.1%
699,69,6.43%,6.06%,9,32368,2165,6.69%,28780,1786,6.21%,-7.2%,0.8%,2.424975102,0.015309437,-7.2%
700,70,2.44%,2.60%,0,12729,299,2.35%,10483,289,2.76%,17.4%,97.5%,-1.968124623,0.0490537,17.4%
701,70,2.44%,2.60%,1,13449,288,2.14%,13320,330,2.48%,15.6%,96.6%,-1.830561323,0.067166046,15.7%
702,70,2.44%,2.60%,2,14299,355,2.48%,14021,364,2.60%,4.6%,72.8%,-0.606640799,0.544089318,4.6%
703,70,2.44%,2.60%,3,16386,388,2.37%,15657,363,2.32%,-2.1%,38.6%,0.292315341,0.77004553,-2.1%
704,70,2.44%,2.60%,4,43049,1015,2.36%,44100,1131,2.56%,8.8%,97.6%,-1.96992791,0.048846633,8.8%
705,70,2.44%,2.60%,5,8358,217,2.60%,8467,204,2.41%,-7.2%,21.9%,0.776298,0.437573054,-7.2%
706,70,2.44%,2.60%,6,25704,617,2.40%,26568,668,2.51%,4.7%,80.0%,-0.840718008,0.40050593,4.7%
707,70,2.44%,2.60%,7,42261,1021,2.42%,45900,1196,2.61%,7.8%,96.4%,-1.797419413,0.072269061,7.9%
708,70,2.44%,2.60%,8,23385,561,2.40%,22568,604,2.68%,11.5%,97.1%,-1.891067152,0.058615381,11.6%
709,70,2.44%,2.60%,9,3034,66,2.18%,2989,61,2.04%,-6.1%,35.9%,0.363341428,0.71634985,-6.2%
710,71,6.19%,6.42%,0,29140,1750,6.01%,25136,1632,6.49%,8.1%,99.0%,-2.341392549,0.019211955,8.1%
711,71,6.19%,6.42%,1,39289,2475,6.30%,39300,2510,6.39%,1.4%,69.2%,-0.502019146,0.615654054,1.4%
712,71,6.19%,6.42%,2,206,13,6.31%,221,14,6.33%,-0.1%,50.1%,-0.010250971,0.991821052,0.4%
713,71,6.19%,6.42%,3,27435,1700,6.20%,26995,1760,6.52%,5.2%,93.9%,-1.545510427,0.122222849,5.2%
714,71,6.19%,6.42%,4,27770,1696,6.11%,26478,1681,6.35%,4.0%,87.8%,-1.163004014,0.244827874,4.0%
715,71,6.19%,6.42%,5,18580,1124,6.05%,19095,1204,6.31%,4.2%,84.9%,-1.030960324,0.302559426,4.2%
716,71,6.19%,6.42%,6,43506,2631,6.05%,45600,2937,6.44%,6.5%,99.2%,-2.424909217,0.015312215,6.5%
717,71,6.19%,6.42%,7,21740,1247,5.74%,23012,1446,6.28%,9.5%,99.3%,-2.435085601,0.014888267,9.5%
718,71,6.19%,6.42%,8,44208,2681,6.06%,44557,2901,6.51%,7.4%,99.7%,-2.738379527,0.006174278,7.4%
719,71,6.19%,6.42%,9,3777,241,6.38%,3902,259,6.64%,4.0%,67.5%,-0.456152764,0.64828013,4.0%
720,72,6.59%,6.18%,0,5111,364,7.12%,5056,323,6.39%,-10.3%,7.0%,1.473118405,0.140719112,-10.3%
721,72,6.59%,6.18%,1,9705,685,7.06%,8777,514,5.86%,-17.0%,0.0%,3.313076365,0.000922758,-17.0%
722,72,6.59%,6.18%,2,20468,1356,6.62%,21599,1374,6.36%,-4.0%,13.6%,1.096829826,0.272715789,-4.0%
723,72,6.59%,6.18%,3,30288,2036,6.72%,27859,1702,6.11%,-9.1%,0.1%,3.009843736,0.002613821,-9.1%
724,72,6.59%,6.18%,4,343,23,6.71%,352,21,5.97%,-10.7%,34.5%,0.400321243,0.688919923,-11.0%
725,72,6.59%,6.18%,5,37069,2346,6.33%,38576,2427,6.29%,-0.6%,41.6%,0.210709509,0.833113954,-0.6%
726,72,6.59%,6.18%,6,41079,2743,6.68%,40515,2467,6.09%,-8.8%,0.0%,3.436427998,0.000589439,-8.8%
727,72,6.59%,6.18%,7,29290,1836,6.27%,30369,1853,6.10%,-2.7%,19.9%,0.845289757,0.397949078,-2.7%
